01v21_v89t_gq3008s,alps 01v21_v89t_gq3008s mt6589 N9599T,Alps N9599T
01_v89_gq3008s_89t,01_v89_gq3008s_89t alps mt6589,Alps 01_v89_gq3008s_89t
06v20_v89_lyn7889_asx_116_xstp,HP-H868 06v20_v89_lyn7889_asx_116_xstp mt6589 haipainoble,Haipainoble HP-H868
0pa,Sony 0pa 0papi 0x8v14dw 7KUX9,Sony 7KUX9
1010a20,1010a20 mt6580 Ixion DEXP lineage_P350 Lenovo vibe a plus,DEXP Lenovo vibe a plus
1080P-N003,1080P 1080P-N003 mt6589,1080P-N003
1201,OPPO 1201 mt6582,OPPO 1201
1601,1601 mt6755 vivo 1713 vivo,Vivo 1713
1603,qcom vivo 1603 vivo 1603,Vivo 1603
1606,qcom vivo 1606 vivo 1606,Vivo 1606
1610,vivo 1610 1610 qcom vivo,Vivo 1610
1716,qcom vivo 1716 vivo 1716,Vivo 1716
1718,qcom vivo 1718 1718 vivo,Vivo 1718
1719,qcom 1719 vivo vivo 1719,Vivo 1719
200a,HP SlateBook 14 PC Hewlett-Packard bowser 200a hp,Hewlett-Packard HP SlateBook 14 PC
2e8,Acer 63LAB 2e8r7 2e8 s1p7eh1t,Acer 63LAB
3007,Coolpad Dazen 1 3007 qcom,Coolpad Dazen 1
30q,Sony 30qps 30q XBX6T girbqsu7,Sony XBX6T
3GDi10,3GDi10 redhookbay intel,Intel 3GDi10
4033X,Alcatel lineage_4033X Alcatel 4033X mt6572 4033X,Alcatel 4033X
408e,408e iris MT6517 iris 408e,Iris 408e
40S404,benesse freescale 40S404 PANASONIC,PANASONIC 40S404
4C_Pro,Honor 4C_Pro mt6735 lineage_4C_Pro,Honor 4C_Pro
4Good KIDS S45,NavRoad 4Good KIDS S45 mt6572 MT6572,NavRoad 4Good KIDS S45
4Good S555m 4G,mt6735 55MQ2 4Good S555m 4G,55MQ2 4Good S555m 4G
4o1,4o10e Oppo 4o1 8vc580mw 4ZQNK,Oppo 4ZQNK
4wi,MWOF5 HTC 4wi 4wijl 4s4uuarw,HTC MWOF5
5010G,mt6580 Alcatel ALCATEL 5010G,Alcatel 5010G
5038D,Alcatel 5038D lineage_5038D mt6582,Alcatel 5038D
503KC,503KC qcom KYOCERA,KYOCERA 503KC
5503,cm_5503 Prestigio 5503 mt6582,Prestigio 5503
56iqDS,56iqDS sun8i QUAD-CORE A33 y3 softwinner astar_y3 Allwinner,Softwinner QUAD-CORE A33 y3
5M,mt6580 YEZZ 5M,YEZZ 5M
601SO,Sony qcom 601SO,Sony 601SO
6pf,Gionee 6pf4b S8OY6 6pf jaq7sfbv,Gionee S8OY6
7 Plus,iPhone 7 Plus APPLE sc7731,IPhone 7 Plus
701KC,qcom KYOCERA NP701KC 701KC,KYOCERA NP701KC
7040E,Alcatel lineage_7040E mt6582 7040E OneTouch Pop C7,Alcatel OneTouch Pop C7
77X,77X mt6572,77X
7Ci,imapx15 Datawind.ubs.us 7Ci Datawind,Datawind 7Ci
801ES,Coolpad qcom 801ES,Coolpad 801ES
